order,family,genus,art,art_id,color
Sapindales,Sapindaceae,Acer,Acer carpinifolium,325,#2E6E8E
Sapindales,Sapindaceae,Acer,Acer circinatum,326,#2E6D8E
Sapindales,Sapindaceae,Acer,Acer cissifolia,327,#2E6D8E
Sapindales,Sapindaceae,Acer,Acer crataegifolium,328,#2F6C8E
Sapindales,Sapindaceae,Acer,Acer davidii,329,#2F6C8E
Sapindales,Sapindaceae,Acer,Acer elegantuleum,330,#2F6B8E
Sapindales,Sapindaceae,Acer,Acer ginnala,331,#2F6B8E
Sapindales,Sapindaceae,Acer,Acer globosum,332,#306A8E
Sapindales,Sapindaceae,Acer,Acer griseum,333,#306A8E
Sapindales,Sapindaceae,Acer,Acer hybr. freemanii,334,#306A8E
Sapindales,Sapindaceae,Acer,Acer hybr. zoeschense,335,#30698E
Sapindales,Sapindaceae,Acer,Acer hyrcanum,336,#30698E
Sapindales,Sapindaceae,Acer,Acer japonica,337,#31688E
Sapindales,Sapindaceae,Acer,Acer micranthum,338,#31688E
Sapindales,Sapindaceae,Acer,Acer monspessulanum,339,#31678E
Sapindales,Sapindaceae,Acer,Acer negundo,340,#31678E
Sapindales,Sapindaceae,Acer,Acer nikoensis,341,#31668E
Sapindales,Sapindaceae,Acer,Acer palmatum,342,#31668E
Sapindales,Sapindaceae,Acer,Acer pensylvanicum,343,#31668E
Sapindales,Sapindaceae,Acer,Acer platanoides,344,#32658E
Sapindales,Sapindaceae,Acer,Acer pseudoplatanus,345,#32658E
Sapindales,Sapindaceae,Acer,Acer pseudosieboldianum,346,#32648E
Sapindales,Sapindaceae,Acer,Acer rubrum,347,#32648E
Sapindales,Sapindaceae,Acer,Acer rufinerve,348,#33638D
Sapindales,Sapindaceae,Acer,Acer saccharinum,349,#33638D
Sapindales,Sapindaceae,Acer,Acer saccharum,350,#33628D
Sapindales,Sapindaceae,Acer,Acer sp.,351,#33628D
Sapindales,Sapindaceae,Acer,Acer tataricum,352,#33628D
Sapindales,Sapindaceae,Aesculus,Aesculus flava,353,#34618D
Sapindales,Sapindaceae,Aesculus,Aesculus glabra,354,#34618D
Sapindales,Sapindaceae,Aesculus,Aesculus hippocastanum,355,#34608D
Sapindales,Sapindaceae,Aesculus,Aesculus hybr. carnea,356,#34608D
Sapindales,Sapindaceae,Aesculus,Aesculus parviflora,357,#355F8D
Sapindales,Sapindaceae,Aesculus,Aesculus sp.,358,#355F8D
Sapindales,Sapindaceae,Koelreuteria,Koelreuteria paniculata,359,#355E8D
Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima (han),360,#355E8D
Sapindales,Simaroubaceae,Ailanthus,Ailanthus altissima (hun),361,#355E8D
Sapindales,Simaroubaceae,Ailanthus,Ailanthus sp.,362,#365D8D
Saxifragales,Altingiaceae,Liquidambar,Liquidambar sp.,363,#365D8D
Saxifragales,Altingiaceae,Liquidambar,Liquidambar styraciflua,364,#365C8D
Saxifragales,Cercidiphyllaceae,Cercidiphyllum,Cercidiphyllum japonicum,365,#365C8D
Saxifragales,Grossulariaceae,Ribes,Ribes nigrum,366,#375B8D
Saxifragales,Grossulariaceae,Ribes,Ribes rubrum,367,#375B8D
Saxifragales,Grossulariaceae,Ribes,Ribes uva-crispa,368,#375B8D
Saxifragales,Hamamelidaceae,Fothergilla,Fothergilla major,369,#375A8C
Saxifragales,Hamamelidaceae,Hamamelis,Hamamelis hybr. intermedia,370,#375A8C
Saxifragales,Hamamelidaceae,Hamamelis,Hamamelis sp.,371,#38598C
Saxifragales,Hamamelidaceae,Parrotia,Parrotia persica,372,#38598C
Trochodendrales,Trochodendraceae,Trochodendron,Trochodendron araliodes,373,#38588C
NA,NA,NA,Ikke registreret,374,#38588C
